Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.0550,0.1438,0.0888,38.27
1,0.0573,0.1442,0.0869,39.74
2,0.0610,0.1438,0.0828,42.42
3,0.0600,0.1441,0.0841,41.61
