Cores,METISCutEdges,METISTime,METISCommRatio,SIMPLECutEdges,SIMPLETime,SIMPLECommRatio
1,0,63.772,0.0462,0,65.4954,0.0438
2,2491.68,40.59,18.4841,4143.26,46.7504,26.9556
3,3506.86,32.0752,29.7844,5529.68,37.5362,38.659
4,4019.4,24.8684,30.9328,6216.32,29.9488,40.9516
5,4399.44,21.7964,35.5474,6636.4,25.062,41.8458
6,4657.66,18.4268,33.232,6912.68,22.2166,42.2754
