Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.2479,2.6217,1.3738,47.60
1,1.2554,2.6179,1.3625,47.95
2,1.2286,2.6005,1.3719,47.25
3,1.2418,2.6179,1.3761,47.43
4,1.1939,2.6004,1.4066,45.91
