Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,9.2233,21.3169,12.0936,43.27
1,8.9821,21.3165,12.3344,42.14
2,9.1377,21.3226,12.1849,42.85
3,9.1527,21.3224,12.1697,42.93
4,9.1371,21.3167,12.1796,42.86
5,9.0575,21.3171,12.2596,42.49
