Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,2.1166,3.1105,0.9939,68.05
1,2.1987,3.1102,0.9115,70.69
2,2.1415,3.0970,0.9554,69.15
3,2.1359,3.0973,0.9613,68.96
