Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.6925,1.4064,0.7138,49.24
1,0.7765,1.3989,0.6224,55.51
2,0.7224,1.3992,0.6768,51.63
3,0.7374,1.4065,0.6692,52.42
