Cores,METISCutEdges,METISTime,METISCommRatio,SIMPLECutEdges,SIMPLETime,SIMPLECommRatio
1,0,9.2538,0.4432,0,9.19616,0.4868
2,7253.28,6.50714,23.6278,23927.2,24.3164,76.9364
3,10432.3,5.44962,35.3586,31904.6,19.1714,79.5942
4,12119.5,4.02258,33.0744,35879.8,14.5909,79.1688
5,13430.5,3.48912,37.0406,38287.4,11.2978,77.9162
6,14278.8,2.9414,36.6412,39872.9,9.05182,76.6852
