Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.9297,2.6875,1.7577,34.60
1,0.9522,2.6864,1.7342,35.45
2,0.9406,2.6889,1.7482,34.98
3,0.9263,2.6840,1.7576,34.51
