Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.6492,2.7110,2.0618,23.95
1,0.6269,2.7108,2.0839,23.13
2,0.6699,2.7108,2.0409,24.71
3,0.8341,2.7109,1.8768,30.77
