Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.4946,3.2382,1.7436,46.16
1,1.5165,3.2399,1.7233,46.81
2,1.4422,3.2401,1.7979,44.51
3,1.4813,3.2376,1.7563,45.75
