Cores,METISCutEdges,METISTime,METISCommRatio,SIMPLECutEdges,SIMPLETime,SIMPLECommRatio
1,0,6.31986,0.529,0,6.12122,0.568
2,2473.28,4.46586,26.164,4143.26,5.18692,36.3624
3,3475.44,3.49864,34.8952,5529.68,4.0896,44.2928
4,3983.18,2.72332,35.6584,6216.32,3.23886,45.7474
5,4361.74,2.43118,40.6102,6636.4,2.70408,46.9542
6,4618.12,2.10444,40.7424,6912.68,2.35002,47.8506
