Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.0544,2.3993,1.3449,43.95
1,1.0678,2.4137,1.3460,44.24
2,1.0199,2.4036,1.3837,42.43
3,0.8458,2.4035,1.5577,35.19
4,0.8836,2.4084,1.5248,36.69
