Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.1964,2.6079,1.4115,45.87
1,1.2525,2.6131,1.3606,47.93
2,1.1998,2.6079,1.4081,46.00
3,1.2544,2.6131,1.3587,48.00
4,1.2620,2.6080,1.3459,48.39
