Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.2967,2.7199,1.4233,47.67
1,1.2933,2.7170,1.4237,47.60
2,1.2952,2.7144,1.4192,47.72
3,1.2785,2.7206,1.4422,46.99
4,1.2747,2.7144,1.4397,46.96
