Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.3612,2.7964,1.4352,48.68
1,1.2915,2.7910,1.4995,46.27
2,1.3278,2.7962,1.4683,47.49
3,1.2937,2.7911,1.4974,46.35
4,1.2859,2.7910,1.5051,46.07
