Cores,METISCutEdges,METISTime,METISCommRatio,SIMPLECutEdges,SIMPLETime,SIMPLECommRatio
1,0,0.360738,10.4446,0,0.352536,7.2124
2,175.04,0.248888,27.2976,175.04,0.242152,26.426
3,234.04,0.198186,32.9482,234.04,0.191646,31.8934
4,263.8,0.168572,36.6742,263.8,0.16871,36.939
5,280.7,0.162994,41.9904,280.7,0.165138,41.6994
6,291.62,0.159328,45.1868,291.62,0.15757,45.0942
