Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.0584,2.2179,1.1595,47.72
1,1.0490,2.2188,1.1698,47.28
2,1.0658,2.2151,1.1493,48.12
3,1.0483,2.2192,1.1708,47.24
4,1.0484,2.2178,1.1694,47.27
5,1.0529,2.2192,1.1663,47.45
