Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,1.0716,2.3281,1.2565,46.03
1,1.0646,2.3229,1.2584,45.83
2,1.0813,2.3247,1.2434,46.51
3,1.0502,2.3282,1.2780,45.11
4,1.0513,2.3315,1.2802,45.09
5,1.0627,2.3280,1.2653,45.65
