Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.0645,0.1917,0.1272,33.62
1,0.1007,0.2019,0.1012,49.87
2,0.0575,0.1920,0.1345,29.93
3,0.0844,0.1915,0.1071,44.08
4,0.1057,0.2004,0.0947,52.76
5,0.0490,0.1916,0.1426,25.56
