Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,10.7253,25.5750,14.8497,41.94
1,10.8905,25.5751,14.6846,42.58
2,10.9342,25.5794,14.6452,42.75
3,10.6585,25.5750,14.9165,41.68
4,10.8662,25.5379,14.6717,42.55
