Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.0724,0.1698,0.0974,42.64
1,0.0993,0.1731,0.0738,57.35
2,0.0672,0.1612,0.0940,41.70
3,0.0610,0.1636,0.1025,37.32
4,0.0858,0.1607,0.0749,53.36
5,0.0647,0.1600,0.0953,40.43
