Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.0559,0.1710,0.1151,32.70
1,0.0598,0.1706,0.1108,35.05
2,0.0559,0.1710,0.1152,32.67
3,0.0807,0.1776,0.0970,45.41
4,0.0593,0.1707,0.1114,34.75
5,0.0898,0.1773,0.0874,50.68
