Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,6.4961,8.3871,1.8910,77.45
1,6.5018,8.4006,1.8987,77.40
2,6.5054,8.4012,1.8958,77.43
3,6.5109,8.3926,1.8817,77.58
4,6.4374,8.3841,1.9468,76.78
5,6.4418,8.3845,1.9427,76.83
