Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,8.5219,21.8150,13.2931,39.06
1,9.0608,21.8149,12.7542,41.53
2,8.6034,21.8209,13.2175,39.43
3,7.1814,21.8167,14.6354,32.92
4,7.1067,21.8209,14.7142,32.57
