Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,4.1364,4.7627,0.6264,86.85
1,4.0973,4.7569,0.6596,86.13
2,4.1082,4.7569,0.6486,86.36
3,4.1343,4.7727,0.6384,86.62
4,4.1239,4.7568,0.6328,86.70
