Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,3.1591,3.6981,0.5391,85.42
1,3.1838,3.7357,0.5519,85.23
2,3.1445,3.6865,0.5419,85.30
3,3.1474,3.6889,0.5416,85.32
4,3.1531,3.6871,0.5340,85.52
