Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.7932,1.4173,0.6240,55.97
1,0.7733,1.4039,0.6306,55.08
2,0.8163,1.4189,0.6026,57.53
3,0.8896,1.4186,0.5290,62.71
4,0.7849,1.4046,0.6196,55.88
5,0.7967,1.4182,0.6215,56.18
