Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.5531,1.1665,0.6134,47.42
1,0.6404,1.1808,0.5404,54.23
2,0.6567,1.1781,0.5214,55.74
3,0.7235,1.1814,0.4579,61.24
4,0.6651,1.1801,0.5151,56.35
5,0.5679,1.1667,0.5989,48.67
