Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.8972,1.9949,1.0977,44.97
1,0.7736,1.9746,1.2010,39.18
2,0.8110,2.0038,1.1928,40.47
3,0.8806,1.9790,1.0984,44.50
4,0.7362,1.9994,1.2632,36.82
5,0.7897,1.9989,1.2092,39.51
