Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,0.9758,2.1049,1.1291,46.36
1,0.8259,2.1061,1.2802,39.22
2,0.7894,2.0595,1.2701,38.33
3,0.9668,2.1063,1.1396,45.90
4,0.7869,2.0989,1.3120,37.49
5,0.8443,2.0977,1.2534,40.25
