Cores,METISCutEdges,METISTime,METISCommRatio,SIMPLECutEdges,SIMPLETime,SIMPLECommRatio
1,0,2.28236,1.9034,0,2.27328,1.9036
2,7253.28,2.77492,49.4374,23927.2,19.3377,91.356
3,10432.3,2.47116,57.2378,31904.6,15.3517,91.8462
4,12119.5,1.82875,54.6836,35879.8,11.5467,91.1268
5,13430.5,1.58445,56.2604,38287.4,8.70792,89.9934
6,14278.8,1.36845,55.4724,39872.9,6.83608,88.7266
