Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,8.8298,11.3591,2.5293,77.73
1,8.8409,11.3574,2.5165,77.84
2,8.8530,11.3590,2.5059,77.94
3,8.8457,11.3577,2.5120,77.88
