Rank,MPI.Time,Full.Time,Comp.Time,Comm.Ratio
0,7.4644,9.8082,2.3438,76.10
1,7.5132,9.8081,2.2949,76.60
2,7.4668,9.8069,2.3402,76.14
3,7.4774,9.8078,2.3305,76.24
